combination,feedback
ㅣ,"'ㅣ'을 발음하려면, 입을 옆으로 길게 벌리세요. 혀는 입천장 쪽으로 올리세요."
ㅔ,"'ㅔ'을 발음하려면, 입을 새끼손가락 하나만큼 벌리세요. 혀는 [이]보다 낮게 내리세요."
ㅐ,"'ㅐ'을 발음하려면, 입을 새끼손가락 두 개만큼 벌리세요. 혀는 아랫니 뒤에 두세요."
ㅏ,"'ㅏ'을 발음하려면, 입을 새끼손가락 세 개만큼 벌리세요. 혀는 최대한 내리세요."
ㅓ,"'ㅓ'을 발음하려면, 입을 새끼손가락 두 개만큼 벌리세요. 입술과 혀는 힘을 주지 말고 편안하게 두세요."
ㅗ,"'ㅗ'을 발음하려면, 입을 새끼손가락 하나만큼 벌리세요. 입술은 동그랗게 만드세요. 혀끝은 밑으로 내리고, 혀의 뒤쪽을 올리세요."
ㅜ,"'ㅜ'을 발음하려면, 입을 조금만 벌리세요. 입술을 동그랗게 만드세요. 입술을 조금 앞으로 내미세요. 혀끝은 밑으로 내리고 혀의 뒤쪽을 최대한 올리세요."
ㅡ,"'ㅡ'을 발음하려면, 입을 조금만 벌리세요. 입술과 혀는 힘을 주지 말고 편안하게 두세요."
ㅑ,"'ㅑ'을 발음하려면, [이아]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [아]에 붙입니다."
ㅕ,"'ㅕ'을 발음하려면, [이어]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [어]에 붙입니다."
ㅛ,"'ㅛ'을 발음하려면, [이오]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [오]에 붙입니다."
ㅠ,"'ㅠ'을 발음하려면, [이우]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [우]에 붙입니다."
ㅒ,"'ㅒ'을 발음하려면, [이애]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [애]에 붙입니다."
ㅖ,"'ㅖ'을 발음하려면, [이에]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [에]에 붙입니다."
ㅘ,"'ㅘ'을 발음하려면, [우아]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [아]에 붙입니다."
ㅝ,"'ㅝ'을 발음하려면, [우어]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [어]에 붙입니다."
ㅙ,"'ㅙ'을 발음하려면, [우에]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [에]에 붙입니다."
ㅞ,"'ㅞ'을 발음하려면, [우에]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [에]에 붙입니다."
ㅚ,"'ㅚ'을 발음하려면, [우에]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [에]에 붙입니다."
ㅟ,"'ㅟ'을 발음하려면, [우이]를 끊지 않고 이어서 발음합니다. 이때 [우]는 아주 짧게 발음하여 [이]에 붙입니다."
ㅢ,"'ㅢ'을 발음하려면, 입술의 모양은 [으]로 유지하고, 혀의 위치는 [으]에서 [이]로 빨리 옮깁니다."
ㅔ_ㅣ,"입을 옆으로 길게 벌려서 입술이 최대한 평평해지도록 하세요. 혀를 입천장에 가깝게 올리고, 혀끝은 아랫니 뒤에 가볍게 닿도록 유지하세요. 'ㅔ'는 입을 조금 더 벌리고 혀가 낮은 위치에 있지만, 'ㅣ'는 입을 덜 벌리고 혀가 더 높은 위치에 있습니다."
ㅐ_ㅣ,"입을 옆으로 길게 벌려서 'ㅐ'보다 좁게 만드세요. 혀끝을 아랫니 뒤에 두는 대신, 혀를 입천장 쪽으로 최대한 올리세요. 'ㅐ'는 입을 더 벌리고 혀가 낮은 위치에 있지만, 'ㅣ'는 입을 덜 벌리고 혀가 더 높은 위치에 있습니다."
ㅏ_ㅣ,"입을 옆으로 길게 벌려서 'ㅏ'보다 좁게 만드세요. 혀를 입천장 쪽으로 올려서 앞쪽에 위치시키세요. 'ㅏ'는 입을 크게 벌리고 혀를 아래로 내리지만, 'ㅣ'는 입을 좁게 벌리고 혀를 위로 올리는 것이 핵심 차이입니다."
ㅓ_ㅣ,"입을 옆으로 길게 벌려서 웃는 표정을 지으세요. 혀를 입천장 쪽으로 최대한 올려서 앞니 뒤쪽에 가깝게 두세요. 'ㅓ'는 입을 더 넓게 벌리고 혀가 중간에 위치하지만, 'ㅣ'는 입을 좁게 벌리고 혀가 더 위로 올라갑니다."
ㅗ_ㅣ,"입을 동그랗게 모으는 대신, 'ㅣ' 발음을 위해 입을 옆으로 길게 벌리세요. 혀끝을 아래에 두는 'ㅗ'와 달리, 'ㅣ' 발음에서는 혀를 입천장 쪽으로 올리세요. 'ㅗ'는 입술을 둥글게 모으고 혀가 낮은 위치에 있지만, 'ㅣ'는 입술을 옆으로 벌리고 혀가 높은 위치에 있습니다."
ㅜ_ㅣ,"입술을 앞으로 내미는 대신, 'ㅣ' 발음을 위해 입을 옆으로 길게 벌리세요. 혀끝을 아래에 두지 말고, 혀 전체를 입천장 쪽으로 올리세요. 'ㅜ'는 입술을 둥글게 모으고 혀를 낮게 두지만, 'ㅣ'는 입을 옆으로 벌리고 혀를 높게 올리는 것이 차이점입니다."
ㅡ_ㅣ,"입을 옆으로 길게 벌려서 웃는 표정을 지으세요. 혀끝을 아랫니 뒤에 두고 혀의 중간 부분을 입천장 쪽으로 올리세요. 'ㅡ'는 입을 거의 벌리지 않고 혀가 평평한 반면, 'ㅣ'는 입을 옆으로 벌리고 혀를 위로 올리는 것이 핵심 차이입니다."
ㅑ_ㅣ,"입을 옆으로 길게 벌려서 'ㅑ'보다 좁게 만들어주세요. 혀는 입천장 쪽으로 최대한 올려서 'ㅣ' 소리가 나도록 하세요. 'ㅑ'는 '이'와 '아'가 결합된 소리이고, 'ㅣ'는 순수하게 혀가 위로 올라간 소리입니다."
ㅕ_ㅣ,"입을 옆으로 길게 벌려서 'ㅕ'보다 더 좁게 만들어주세요. 혀는 입천장 쪽으로 최대한 올려서 'ㅣ' 소리가 나도록 하세요. 'ㅕ'는 입을 더 벌리고 혀가 낮은 위치에 있지만, 'ㅣ'는 입을 덜 벌리고 혀가 더 높습니다."
ㅛ_ㅣ,"입을 동그랗게 모으는 대신, 'ㅣ' 발음을 위해 입을 옆으로 길게 벌리세요. 혀는 'ㅛ'에서처럼 뒤로 당기지 말고, 입천장에 가깝게 올리세요. 'ㅛ'는 입술을 둥글게 모으고 혀가 뒤로 당겨지지만, 'ㅣ'는 입을 옆으로 벌리고 혀가 앞쪽으로 나옵니다."
ㅠ_ㅣ,"입술을 앞으로 내미는 대신, 'ㅣ' 발음을 위해 입을 옆으로 길게 벌려주세요. 혀는 'ㅠ'에서처럼 뒤로 당기지 말고, 입천장에 가깝게 올려주세요. 'ㅠ'는 입술을 동그랗게 모으는 반면, 'ㅣ'는 입을 옆으로 벌리고 혀를 더 높게 위치시킵니다."
ㅒ_ㅣ,"입을 옆으로 길게 벌리고, 입술을 최대한 평평하게 유지하세요. 혀는 입천장에 가깝게 올리고, 혀끝이 아랫니 뒤쪽에 닿지 않도록 하세요. 'ㅒ'는 입을 더 벌리고 혀가 약간 낮은 반면, 'ㅣ'는 입을 덜 벌리고 혀가 더 높습니다."
ㅖ_ㅣ,입을 옆으로 길게 벌려서 'ㅖ'보다 더 좁게 만드세요. 혀는 입천장에 최대한 가깝게 올려 'ㅣ' 소리를 내도록 하세요. 'ㅖ'는 'ㅣ'보다 입을 더 벌리고 혀가 낮은 위치에 있다는 점이 다릅니다.
ㅘ_ㅣ,"입을 옆으로 길게 벌리고 입술을 최대한 평평하게 유지하세요. 혀는 입천장 쪽으로 올리고, 혀끝이 아랫니 뒤쪽에 닿지 않도록 하세요. 'ㅘ'는 입을 크게 벌리고 'ㅏ' 소리가 포함되지만, 'ㅣ'는 입을 좁게 벌리고 혀를 더 높게 올려 발음합니다."
ㅝ_ㅣ,"입을 옆으로 길게 벌려서 입술이 평평해지도록 하세요. 혀는 입천장에 가깝게 올리고, 혀끝이 아랫니 뒤쪽에 닿지 않도록 하세요. 'ㅝ'는 입술을 동그랗게 모으고 혀가 아래로 내려가지만, 'ㅣ'는 입술을 옆으로 벌리고 혀를 위로 올리는 것이 핵심적인 차이입니다."
ㅙ_ㅣ,"입을 옆으로 길게 벌리고 입술을 최대한 평평하게 유지하세요. 혀는 입천장에 가깝게 올리고, 혀끝이 아랫니 뒤쪽에 닿지 않도록 하세요. 'ㅙ'는 입을 더 크게 벌리고 혀가 아래쪽에 위치하지만, 'ㅣ'는 입을 좁게 벌리고 혀가 위쪽에 위치합니다."
ㅞ_ㅣ,"입을 옆으로 길게 벌리고 입술을 최대한 평평하게 유지하세요. 혀는 입천장에 가깝게 올리고, 혀끝이 아랫니 뒤쪽에 닿지 않도록 하세요. 'ㅞ'는 입술을 둥글게 모으는 반면, 'ㅣ'는 입술을 옆으로 벌려 발음하는 것이 핵심적인 차이입니다."
ㅚ_ㅣ,"입을 옆으로 길게 벌리고 입술을 최대한 평평하게 유지하세요. 혀는 입천장에 가깝게 올리고, 혀끝이 아랫니 뒤쪽에 닿지 않도록 하세요. 'ㅚ'는 입술을 둥글게 모으는 반면, 'ㅣ'는 입술을 옆으로 벌려 발음하는 것이 핵심적인 차이입니다."
ㅟ_ㅣ,"입술을 앞으로 내미는 대신, 입을 옆으로 길게 벌려주세요. 혀끝을 입천장에 가깝게 올리고, 혀의 중간 부분이 평평하게 유지되도록 하세요. 'ㅟ'는 입술을 둥글게 모으는 반면, 'ㅣ'는 입술을 옆으로 벌려 발음하는 것이 핵심적인 차이입니다."
ㅢ_ㅣ,"입을 옆으로 길게 벌려서 'ㅢ'보다 더 좁게 모으지 않도록 하세요. 혀는 입천장에 가깝게 올리고, 혀끝이 아랫니 뒤쪽에 닿지 않도록 하세요. 'ㅢ'는 혀가 더 뒤쪽에 위치하고 입 모양이 좁지만, 'ㅣ'는 혀가 앞쪽에 위치하며 입을 더 옆으로 벌리는 것이 차이점입니다."
ㅣ_ㅔ,"입을 옆으로 길게 벌리는 대신, 'ㅔ' 발음을 위해 입을 새끼손가락 하나만큼만 벌리세요. 혀는 'ㅣ'보다 낮게 두고, 입천장에 너무 가까이 가지 않도록 하세요. 'ㅣ'는 입을 더 좁게 벌리고 혀가 위로 올라가지만, 'ㅔ'는 입을 조금 더 벌리고 혀가 아래로 내려옵니다."
ㅐ_ㅔ,"입을 조금 덜 벌려서 새끼손가락 하나만 들어갈 정도로 유지하세요. 혀는 'ㅐ'보다 약간 더 위로 올려서 입천장에 가깝게 두세요. 'ㅐ'는 입을 더 벌리고 혀가 아래에 위치하는 반면, 'ㅔ'는 입을 덜 벌리고 혀가 더 위에 위치합니다."
ㅏ_ㅔ,"입을 'ㅏ'보다 덜 벌리고, 새끼손가락 하나 정도의 간격을 유지하세요. 혀는 'ㅏ'에서처럼 아래로 내리지 말고, 약간 위로 올려 입천장에 가깝게 두세요. 'ㅏ'는 입을 크게 벌리고 혀를 아래로 내리지만, 'ㅔ'는 입을 적게 벌리고 혀를 더 위로 올리는 것이 차이점입니다."
ㅓ_ㅔ,"입을 조금 더 좁게 벌리고, 입꼬리를 살짝 옆으로 당겨주세요. 혀는 'ㅓ'보다 약간 더 위로 올려서 입천장에 가깝게 두세요. 'ㅓ'는 입을 더 크게 벌리고 혀를 편안하게 두는 반면, 'ㅔ'는 입을 덜 벌리고 혀를 더 위로 올리는 것이 차이점입니다."
ㅗ_ㅔ,"입을 동그랗게 모으는 대신, 'ㅔ' 발음을 위해 입을 옆으로 살짝 벌려주세요. 혀는 'ㅗ'에서처럼 뒤로 당기지 말고, 'ㅔ' 발음 시에는 혀를 중간 정도로 평평하게 두세요. 'ㅗ'는 입술을 둥글게 모으고 혀를 뒤로 당기는 반면, 'ㅔ'는 입을 옆으로 벌리고 혀를 더 앞으로 두는 것이 핵심 차이입니다."
ㅜ_ㅔ,"입을 동그랗게 모으는 대신, 'ㅔ' 발음을 위해 입을 옆으로 살짝 벌려주세요. 혀는 'ㅜ'에서처럼 뒤로 당기지 말고, 'ㅔ' 발음 시에는 혀를 중간 정도로 편안하게 두세요. 'ㅜ'는 입술을 앞으로 내밀고 혀를 뒤로 당기는 반면, 'ㅔ'는 입술을 옆으로 벌리고 혀를 더 앞쪽에 둡니다."
ㅡ_ㅔ,"입을 조금 더 벌리고, 입꼬리를 옆으로 살짝 당겨주세요. 혀는 'ㅡ'보다 약간 더 앞쪽으로 내밀고, 혀끝이 아랫니에 닿지 않도록 하세요. 'ㅡ'는 입을 거의 벌리지 않고 혀가 평평한 반면, 'ㅔ'는 입을 벌리고 혀가 더 앞쪽에 위치합니다."
ㅑ_ㅔ,"입을 너무 크게 벌리지 말고, 새끼손가락 하나 정도만 벌려주세요. 혀는 'ㅑ'보다 조금 더 낮게 두고, 혀끝이 아랫니에 닿지 않도록 하세요. 'ㅑ'는 입을 크게 벌리고 혀를 많이 내리지만, 'ㅔ'는 입을 적당히 벌리고 혀를 중간 정도로 유지하는 것이 차이점입니다."
ㅕ_ㅔ,"입을 조금 더 옆으로 벌리고, 'ㅕ'보다 덜 둥글게 만들어주세요. 혀는 'ㅕ'보다 약간 더 위로 올리고, 입천장에 가깝게 두세요. 'ㅕ'는 입술이 더 둥글고 혀가 아래에 있지만, 'ㅔ'는 입술이 덜 둥글고 혀가 더 위에 있습니다."
ㅛ_ㅔ,"입을 동그랗게 모으는 대신, 'ㅔ' 발음을 위해 입을 옆으로 살짝 벌려주세요. 혀는 'ㅛ' 발음처럼 뒤로 당기지 말고, 'ㅔ' 발음을 위해 혀를 입천장에 가깝게 두되 약간 낮게 위치시켜 주세요. 'ㅛ'는 입술을 동그랗게 모으고 혀를 뒤로 당기는 반면, 'ㅔ'는 입을 옆으로 벌리고 혀를 더 앞으로 두는 것이 핵심 차이입니다."
ㅠ_ㅔ,"입을 동그랗게 모으는 'ㅠ'와 달리, 'ㅔ'는 입을 옆으로 살짝 벌려야 합니다. 혀는 'ㅠ'에서처럼 뒤로 당기지 말고, 'ㅔ'에서는 혀를 입천장에 가깝게 두되 너무 높지 않게 위치시킵니다. 'ㅠ'는 입술을 앞으로 내밀고 발음하지만, 'ㅔ'는 입술을 편안하게 두고 발음하는 것이 핵심 차이입니다."
ㅒ_ㅔ,"입을 조금 덜 벌리고, 새끼손가락 하나만 들어갈 정도로 벌려주세요. 혀는 'ㅒ'보다 조금 더 낮게 두고, 아랫니에 가깝게 위치시켜주세요. 'ㅒ'는 'ㅣ'와 'ㅐ'의 결합이지만, 'ㅔ'는 'ㅣ'와 'ㅐ'보다 더 낮은 혀 위치에서 발음됩니다."
ㅖ_ㅔ,"입을 조금 덜 벌리고, 'ㅖ'보다 입술을 더 편안하게 유지하세요. 혀는 'ㅖ'에서처럼 입천장 쪽으로 올리지 말고, 'ㅔ' 발음 시에는 혀를 더 낮게 두세요. 'ㅖ'는 '이' 소리가 섞여 있지만, 'ㅔ'는 순수한 단일 모음입니다."
ㅘ_ㅔ,"입을 너무 크게 벌리지 말고, 새끼손가락 하나 정도만 벌려주세요. 혀는 'ㅘ'처럼 뒤로 당기지 말고, 'ㅔ' 발음 시에는 혀를 중간 정도로 편안하게 두세요. 'ㅘ'는 입을 더 크게 벌리고 혀가 뒤로 당겨지지만, 'ㅔ'는 입을 덜 벌리고 혀가 더 앞으로 위치합니다."
ㅝ_ㅔ,"입술을 동그랗게 모으는 'ㅝ'와 달리, 'ㅔ'는 입을 옆으로 살짝 벌려야 합니다. 'ㅝ'는 혀가 뒤쪽으로 당겨지지만, 'ㅔ'는 혀를 중간 정도로 편안하게 두고 약간 앞으로 내밀어야 합니다. 'ㅝ'는 입술 모양과 혀의 위치가 더 후방에 있지만, 'ㅔ'는 입술이 평평하고 혀가 더 앞쪽에 위치하는 것이 핵심 차이입니다."
ㅙ_ㅔ,"입을 조금 덜 벌리고 입술을 옆으로 살짝만 당겨주세요. 혀는 'ㅙ'보다 더 낮게 두고, 혀끝이 아랫니에 닿지 않도록 하세요. 'ㅙ'는 '우'와 '에'의 결합이지만, 'ㅔ'는 단순히 '에' 소리만 내는 것이 핵심입니다."
ㅞ_ㅔ,"입을 조금 덜 동그랗게 하고, 입술을 옆으로 살짝 벌려주세요. 혀는 'ㅞ'보다 약간 더 낮게 두고, 입천장에 닿지 않도록 하세요. 'ㅞ'는 입술을 동그랗게 모으는 반면, 'ㅔ'는 입술을 옆으로 벌려 발음합니다."
ㅚ_ㅔ,"입을 동그랗게 모으는 대신, 'ㅔ' 발음을 위해 입을 옆으로 살짝 벌려주세요. 혀는 'ㅚ' 발음처럼 입천장 쪽으로 올리지 말고, 'ㅔ' 발음에서는 혀를 더 낮게 두세요. 'ㅚ'는 입술을 동그랗게 모으고 혀를 올리는 반면, 'ㅔ'는 입을 옆으로 벌리고 혀를 더 낮게 두는 것이 핵심적인 차이입니다."
ㅟ_ㅔ,"입술을 동그랗게 모으는 대신, 'ㅔ' 발음을 위해 입을 옆으로 살짝 벌려주세요. 혀는 'ㅟ'에서처럼 입천장에 가까이 두지 말고, 'ㅔ' 발음을 위해 혀를 중간 정도로 낮춰주세요. 'ㅟ'는 입술을 모으고 혀를 높게 두는 반면, 'ㅔ'는 입술을 벌리고 혀를 더 낮게 두는 것이 핵심 차이입니다."
ㅢ_ㅔ,"입을 조금 더 벌리고, 입술을 옆으로 살짝 당겨주세요. 혀는 'ㅢ'에서처럼 입천장 쪽으로 올리지 말고, 'ㅔ' 발음을 위해 혀를 중간 정도 높이로 편안하게 두세요. 'ㅢ'는 혀가 더 높고 입술이 덜 벌어지지만, 'ㅔ'는 혀가 낮고 입이 더 벌어집니다."
ㅣ_ㅐ,"입을 'ㅣ'보다 더 크게 벌리고, 새끼손가락 두 개 정도의 간격을 유지하세요. 혀는 'ㅣ'에서처럼 입천장에 가까이 두지 말고, 아랫니 뒤쪽에 편안하게 위치시키세요. 'ㅣ'는 입을 좁게 벌리고 혀를 위로 올리지만, 'ㅐ'는 입을 더 크게 벌리고 혀를 아래로 내려야 합니다."
ㅔ_ㅐ,"입을 조금 더 크게 벌려 새끼손가락 두 개 정도가 들어갈 만큼 공간을 만드세요. 혀는 아랫니 뒤쪽에 가깝게 두고, 혀끝이 살짝 아래로 내려가도록 하세요. 'ㅔ'는 입을 덜 벌리고 혀가 더 위쪽에 위치하는 반면, 'ㅐ'는 입을 더 벌리고 혀가 아래쪽에 위치합니다."
ㅏ_ㅐ,"입을 'ㅏ'보다 덜 벌리고 새끼손가락 두 개 정도의 간격을 유지하세요. 혀는 'ㅏ'처럼 아래로 내리지 말고 아랫니 뒤쪽에 가깝게 두세요. 'ㅏ'는 입을 크게 벌리고 혀를 아래로 내리지만, 'ㅐ'는 입을 덜 벌리고 혀를 더 위쪽에 위치시킵니다."
ㅓ_ㅐ,"입을 조금 더 크게 벌려 새끼손가락 두 개 정도의 간격을 유지하세요. 혀는 아랫니 뒤쪽에 가깝게 두고, 혀끝이 살짝 아래로 내려가도록 하세요. 'ㅓ'는 입술과 혀가 편안한 상태에서 발음되지만, 'ㅐ'는 입을 더 벌리고 혀를 아랫니 쪽으로 내리는 것이 핵심입니다."
ㅗ_ㅐ,"입을 동그랗게 모으는 대신, 'ㅐ' 발음을 위해 입을 옆으로 넓게 벌리세요. 혀는 'ㅗ'에서처럼 뒤로 당기지 말고, 아랫니 뒤쪽에 편안하게 두세요. 'ㅗ'는 입술을 둥글게 모으고 혀를 뒤로 당기는 반면, 'ㅐ'는 입을 넓게 벌리고 혀를 앞으로 두는 것이 핵심적인 차이입니다."
ㅜ_ㅐ,"입술을 동그랗게 모으는 대신, 'ㅐ' 발음을 위해 입을 옆으로 넓게 벌리세요. 혀는 'ㅜ'에서처럼 뒤로 당기지 말고, 아랫니 바로 뒤에 편안하게 두세요. 'ㅜ'는 입술을 앞으로 내밀고 혀를 뒤로 당기는 반면, 'ㅐ'는 입을 넓게 벌리고 혀를 앞으로 두는 것이 핵심적인 차이입니다."
ㅡ_ㅐ,"입을 조금 더 크게 벌리고, 옆으로 살짝 당겨서 'ㅐ' 모양을 만들어주세요. 혀는 'ㅡ'에서처럼 편안하게 두지 말고, 아랫니 뒤쪽에 가깝게 위치시켜주세요. 'ㅡ'는 입을 거의 벌리지 않고 혀가 중립적인 위치에 있지만, 'ㅐ'는 입을 더 벌리고 혀가 아래로 내려가 있다는 점이 다릅니다."
ㅑ_ㅐ,"입을 조금 더 넓게 벌려서 새끼손가락 두 개 정도 들어갈 만큼 유지하세요. 혀는 아랫니 뒤쪽에 편안하게 두고, 'ㅑ'보다 덜 들어 올리세요. 'ㅑ'는 '이'와 '아'의 결합이지만, 'ㅐ'는 단일 모음으로 입 모양과 혀의 위치가 더 고정적입니다."
ㅕ_ㅐ,"입을 조금 더 크게 벌려서 새끼손가락 두 개 정도 들어갈 만큼 벌리세요. 혀는 아랫니 뒤쪽에 편안하게 두고, 혀끝이 입천장에 닿지 않도록 하세요. 'ㅕ'는 입을 덜 벌리고 혀가 더 위쪽에 위치하는 반면, 'ㅐ'는 입을 더 벌리고 혀가 아래쪽에 위치합니다."
ㅛ_ㅐ,"입을 동그랗게 모으는 대신, 'ㅐ' 발음을 위해 입을 옆으로 넓게 벌리세요. 혀는 'ㅛ' 발음처럼 뒤로 당기지 말고, 아랫니 뒤쪽에 편안하게 두세요. 'ㅛ'는 입술을 동그랗게 모으고 혀를 뒤로 당기는 반면, 'ㅐ'는 입을 넓게 벌리고 혀를 앞으로 두는 것이 핵심 차이입니다."
ㅠ_ㅐ,"입을 동그랗게 모으는 대신, 'ㅐ' 발음을 위해 입을 옆으로 넓게 벌리세요. 혀는 'ㅠ' 발음처럼 뒤로 당기지 말고, 아랫니 뒤쪽에 편안하게 두세요. 'ㅠ'는 입술을 동그랗게 모으고 혀를 뒤로 당기는 반면, 'ㅐ'는 입을 넓게 벌리고 혀를 앞으로 두는 것이 핵심 차이입니다."
ㅒ_ㅐ,"입을 조금 더 크게 벌려서 새끼손가락 두 개 정도가 들어갈 만큼 벌리세요. 혀는 아랫니 뒤쪽에 편안하게 두고, 너무 위로 올리지 않도록 주의하세요. 'ㅒ'는 '이' 소리가 섞여 있지만, 'ㅐ'는 '이' 소리가 없이 더 단순한 소리입니다."
ㅖ_ㅐ,"입을 조금 더 크게 벌려 새끼손가락 두 개 정도 들어갈 만큼 공간을 만드세요. 혀는 아랫니 뒤쪽에 편안하게 두고, 입천장 쪽으로 너무 올리지 않도록 주의하세요. 'ㅖ'는 '이' 소리가 섞여 있지만, 'ㅐ'는 '이' 소리가 없이 더 단순한 모음입니다."
