combination,feedback
ㅓ_ㅕ,입을 조금 더 옆으로 벌려 '이' 소리를 짧게 내면서 시작하세요. 혀는 'ㅓ'보다 약간 더 위로 올려서 입천장에 가깝게 두세요. 'ㅕ'는 'ㅓ'에 '이' 소리가 짧게 붙는 것이 핵심입니다.
ㅗ_ㅕ,"입을 동그랗게 모으는 대신, 'ㅕ' 발음을 위해 입을 옆으로 살짝 벌려주세요. 혀는 'ㅗ'에서처럼 뒤로 당기지 말고, 입천장 쪽으로 살짝 올려주세요. 'ㅗ'는 입술을 둥글게 모으고 혀를 뒤로 당기는 반면, 'ㅕ'는 입을 옆으로 벌리고 혀를 더 앞으로 위치시킵니다."
ㅜ_ㅕ,"입술을 동그랗게 모으는 대신, 'ㅕ' 발음을 위해 입을 새끼손가락 두 개 정도 벌리고 입술을 편안하게 유지하세요. 혀는 'ㅜ'에서처럼 뒤로 당기지 말고, 혀끝을 아랫니 뒤쪽에 가깝게 두고 혀의 중간 부분을 약간 들어 올리세요. 'ㅜ'는 입술을 앞으로 내밀고 발음하지만, 'ㅕ'는 입을 더 넓게 벌리고 혀의 위치가 더 앞쪽에 있습니다."
ㅡ_ㅕ,"입을 조금 더 벌리고 입술을 살짝 앞으로 내밀어 'ㅕ' 소리를 낼 준비를 하세요. 혀는 'ㅡ'에서처럼 편안하게 두지 말고, 혀끝을 살짝 아래로 내리면서 혀의 중간 부분을 약간 들어 올리세요. 'ㅡ'는 입술이 거의 움직이지 않지만, 'ㅕ'는 입술과 혀의 움직임이 더 크고, 입을 더 벌려야 합니다."
ㅑ_ㅕ,"입을 조금 덜 벌리고, 입술을 편안하게 유지하세요. 혀는 'ㅑ'보다 약간 더 낮게 두고, 입천장에 닿지 않도록 하세요. 'ㅑ'는 '아'에 가깝고, 'ㅕ'는 '어'에 가깝다는 점을 기억하세요."
ㅛ_ㅕ,"입술을 동그랗게 모으는 대신, 'ㅕ' 발음을 위해 입을 옆으로 살짝 벌려주세요. 혀는 'ㅛ'에서처럼 뒤로 당기지 말고, 입 안에서 편안하게 두세요. 'ㅛ'는 입술을 동그랗게 모으고 '오' 소리를 포함하지만, 'ㅕ'는 입을 더 넓게 벌리고 '어' 소리를 포함합니다."
ㅠ_ㅕ,"입술을 앞으로 내미는 대신, 입을 새끼손가락 두 개만큼 벌리고 편안하게 유지하세요. 혀는 'ㅠ'에서처럼 뒤로 당기지 말고, 입 안에서 자연스럽게 중간 정도에 위치하도록 하세요. 'ㅠ'는 입술을 동그랗게 모으는 반면, 'ㅕ'는 입술을 더 편안하게 벌리고 발음하는 것이 핵심입니다."
ㅒ_ㅕ,"입을 새끼손가락 두 개만큼 벌리고 입술을 편안하게 유지하세요. 혀는 입천장에 닿지 않도록 아래쪽에 두고, 혀끝이 아랫니 뒤에 가깝게 위치하도록 하세요. 'ㅒ'는 '이'와 '애'의 결합이고, 'ㅕ'는 '이'와 '어'의 결합이므로, 'ㅕ' 발음 시 더 낮고 편안한 소리를 내는 것이 중요합니다."
ㅖ_ㅕ,"입을 새끼손가락 두 개만큼 벌리고 입술을 편안하게 유지하세요. 혀는 입천장에 닿지 않도록 낮추고, 아랫니 뒤쪽에 가깝게 두세요. 'ㅖ'는 '이'와 '에'의 결합이고, 'ㅕ'는 '이'와 '어'의 결합이므로 '어' 소리에 더 집중하세요."
ㅘ_ㅕ,"입을 새끼손가락 두 개만큼 벌리고 입술을 편안하게 유지하세요. 혀는 입 안에서 중간 정도 높이에 두고, 혀끝이 아랫니 뒤쪽에 가깝게 위치하도록 하세요. 'ㅘ'는 입술을 더 크게 벌리고 '아' 소리가 포함되지만, 'ㅕ'는 입을 덜 벌리고 '어' 소리가 중심이 됩니다."
ㅝ_ㅕ,"입을 새끼손가락 두 개만큼 벌리고 입술을 동그랗게 하지 말고 자연스럽게 펴세요. 혀는 'ㅝ'에서처럼 뒤로 당기지 말고, 'ㅕ'를 발음할 때는 혀를 중간 정도로 편안하게 두세요. 'ㅝ'는 입술을 동그랗게 모으는 반면, 'ㅕ'는 입술을 펴고 발음하는 것이 핵심적인 차이입니다."
ㅙ_ㅕ,"입을 새끼손가락 두 개만큼 벌리고 입술을 편안하게 유지하세요. 혀는 입 안에서 중간 정도 높이로 두고, 혀끝이 아랫니 뒤쪽에 닿지 않도록 하세요. 'ㅙ'는 입술을 더 동그랗게 하고 혀를 더 위로 올리지만, 'ㅕ'는 입술을 편안하게 하고 혀를 더 낮게 둡니다."
ㅞ_ㅕ,"입을 새끼손가락 두 개만큼 벌리고 입술을 편안하게 둡니다. 혀는 입천장에 닿지 않도록 중간 정도로 내리고, 혀끝은 아랫니 뒤에 가깝게 둡니다. 'ㅞ'는 입술을 동그랗게 모으는 반면, 'ㅕ'는 입술을 더 평평하게 유지하는 것이 차이점입니다."
ㅚ_ㅕ,"입을 동그랗게 모으는 대신, 입을 새끼손가락 두 개만큼 벌리고 입술을 편안하게 두세요. 혀는 'ㅚ'에서처럼 뒤쪽을 올리지 말고, 혀를 편안하게 아래로 내려 아랫니 뒤에 두세요. 'ㅚ'는 입술을 동그랗게 모으고 혀를 뒤로 당기지만, 'ㅕ'는 입을 더 넓게 벌리고 혀를 아래로 내려 편안하게 발음하는 것이 차이점입니다."
ㅟ_ㅕ,"입술을 동그랗게 모으는 대신, 'ㅕ' 발음을 위해 입을 새끼손가락 두 개만큼 벌리고 편안하게 유지하세요. 혀는 'ㅟ'에서처럼 입천장 쪽으로 올리지 말고, 아랫니 뒤쪽에 편안하게 두세요. 'ㅟ'는 입술을 모으고 혀를 위로 올리지만, 'ㅕ'는 입을 더 벌리고 혀를 아래로 두는 것이 핵심 차이입니다."
ㅢ_ㅕ,"입을 새끼손가락 두 개만큼 벌리고 입술을 편안하게 둡니다. 혀는 입천장에 닿지 않도록 아래쪽에 편안하게 둡니다. 'ㅢ'는 혀가 입천장 쪽으로 올라가지만, 'ㅕ'는 혀가 더 낮고 편안한 위치에 있습니다."
ㅣ_ㅛ,"입을 옆으로 벌리는 대신, 입술을 동그랗게 모아주세요. 혀는 'ㅣ'처럼 입천장 쪽으로 올리지 말고, 혀끝을 아래로 내리고 혀의 뒤쪽을 살짝 올려주세요. 'ㅣ'는 입을 옆으로 벌리고 혀를 위로 올리지만, 'ㅛ'는 입술을 동그랗게 모으고 혀를 아래로 내리는 것이 핵심 차이입니다."
ㅔ_ㅛ,"입술을 동그랗게 모으고 앞으로 내밀어 'ㅛ' 발음을 준비하세요. 혀끝은 아래에 두고 혀의 뒤쪽을 살짝 들어 올려 'ㅛ'의 모음을 발음하세요. 'ㅔ'는 입을 옆으로 벌리고 혀를 평평하게 두는 반면, 'ㅛ'는 입술을 동그랗게 모으고 혀의 뒤쪽을 올리는 것이 핵심적인 차이입니다."
ㅐ_ㅛ,"입을 동그랗게 모으고 살짝 벌려 '오' 소리를 내는 입 모양을 만들어보세요. 혀끝은 아래에 두고 혀의 뒤쪽을 살짝 들어 올려 '오' 소리와 비슷하게 발음하세요. 'ㅐ'는 입을 옆으로 벌리고 혀를 평평하게 두는 반면, 'ㅛ'는 입술을 동그랗게 모으고 혀의 뒤쪽을 올리는 것이 핵심적인 차이입니다."
ㅏ_ㅛ,"입을 동그랗게 모으고 살짝 벌려 '오' 소리를 내는 입 모양을 만들어보세요. 혀는 입천장 쪽으로 살짝 올리면서, 혀끝은 아래쪽에 두세요. 'ㅏ'는 입을 크게 벌리고 혀를 아래로 내리지만, 'ㅛ'는 입을 작게 벌리고 혀를 위로 올리는 것이 차이점입니다."
ㅓ_ㅛ,"입을 새끼손가락 하나만큼 벌리고 입술을 동그랗게 모아주세요. 혀끝은 아래로 내리고 혀의 뒤쪽을 살짝 올려주세요. 'ㅓ'는 입술이 편안한 상태에서 발음되지만, 'ㅛ'는 입술을 동그랗게 모으고 '이오'를 연이어 발음하는 것이 핵심입니다."
ㅗ_ㅛ,"입을 동그랗게 모으되, 'ㅗ'보다 조금 더 작게 모아주세요. 혀는 'ㅗ'처럼 뒤쪽을 올리지만, 'ㅛ'에서는 혀끝을 살짝 더 위로 올려주세요. 'ㅛ'는 'ㅗ'에 '이' 소리가 짧게 붙는 느낌으로, 입 모양과 혀의 움직임이 더 섬세합니다."
ㅜ_ㅛ,"입술을 'ㅜ'보다 덜 내밀고, 동그랗게 모으되 살짝 더 벌려주세요. 혀는 'ㅜ'처럼 뒤쪽을 올리지만, 'ㅛ'에서는 혀의 앞부분이 더 낮아지도록 하세요. 'ㅜ'는 입술을 더 내밀고 혀의 뒤쪽을 더 많이 올리는 반면, 'ㅛ'는 입술을 덜 내밀고 혀의 앞부분이 더 낮아집니다."
ㅡ_ㅛ,"입술을 동그랗게 모으고 살짝 앞으로 내밀어 'ㅛ' 발음을 준비하세요. 혀끝은 아래에 두고 혀의 뒤쪽을 살짝 올려 '오' 발음처럼 준비한 후, '이' 소리를 짧게 붙여주세요. 'ㅡ'는 입술을 평평하게 유지하고 혀를 편안하게 두는 반면, 'ㅛ'는 입술을 동그랗게 모으고 혀의 위치를 조정하는 것이 핵심 차이입니다."
ㅑ_ㅛ,"입을 조금만 벌리고 입술을 동그랗게 모아주세요. 혀끝은 아래로 내리고 혀의 뒤쪽을 살짝 올려주세요. 'ㅑ'는 입을 더 크게 벌리고 '아' 소리가 나는 반면, 'ㅛ'는 입술을 모아 '오' 소리가 나도록 해야 합니다."
ㅕ_ㅛ,입을 조금만 벌리고 입술을 동그랗게 모아주세요. 혀끝은 아래로 두고 혀의 뒤쪽을 살짝 올려 '오' 소리를 준비하세요. 'ㅕ'는 입술이 평평하고 'ㅛ'는 입술이 동그랗게 모이는 것이 핵심적인 차이입니다.
ㅠ_ㅛ,"입술을 앞으로 내미는 대신, 'ㅛ' 발음을 위해 입술을 동그랗게 모으고 살짝 벌리세요. 혀끝은 아래에 두고, 혀의 뒤쪽을 살짝 올려 '오' 소리를 내는 위치로 조정하세요. 'ㅠ'는 '우' 소리에서 시작하지만, 'ㅛ'는 '오' 소리에서 시작하므로 입술 모양과 혀의 위치가 다릅니다."
ㅒ_ㅛ,"입을 옆으로 벌리는 대신, 입술을 동그랗게 모아 '오' 소리를 내는 모양을 만들어주세요. 혀는 'ㅒ' 발음처럼 앞쪽에 두지 말고, 혀끝을 아래로 내리고 혀의 뒤쪽을 살짝 올려주세요. 'ㅒ'는 입을 옆으로 벌리며 발음하지만, 'ㅛ'는 입술을 모아 동그랗게 만드는 것이 핵심적인 차이입니다."
ㅖ_ㅛ,"입을 동그랗게 모으고 살짝 벌려 '오' 소리를 내는 입 모양을 만들어보세요. 혀끝은 아래로 내리고 혀의 뒤쪽을 살짝 올려 '오' 소리와 비슷하게 발음하세요. 'ㅖ'는 입을 옆으로 벌리고 '에' 소리를 내는 반면, 'ㅛ'는 입술을 동그랗게 모아 '오' 소리를 내는 것이 핵심적인 차이입니다."
ㅘ_ㅛ,"입을 조금만 벌리고 입술을 동그랗게 하며 앞으로 내미세요. 혀끝은 밑으로 두고 혀의 뒤쪽을 살짝 올려주세요. 'ㅘ'는 '우'와 '아'의 결합이고, 'ㅛ'는 '이'와 '오'의 결합이므로 입술 모양과 혀의 위치가 다릅니다."
ㅝ_ㅛ,"입술을 동그랗게 모으되, 'ㅝ'보다 조금 더 작게 모아주세요. 혀는 'ㅝ'에서처럼 뒤로 당기지 말고, 'ㅛ' 발음 시에는 혀끝을 아래로 두고 혀의 뒤쪽을 살짝 올려주세요. 'ㅝ'는 '우'와 '어'의 결합이고, 'ㅛ'는 '이'와 '오'의 결합이므로 입술 모양과 혀의 위치가 다릅니다."
ㅙ_ㅛ,"입을 동그랗게 모으고, 'ㅙ'보다 더 작게 벌려주세요. 혀끝은 아래로 내리고, 혀의 뒤쪽을 살짝 올려 '오' 소리를 낼 준비를 하세요. 'ㅙ'는 '우'와 '에'의 결합이지만, 'ㅛ'는 '이'와 '오'의 결합으로, 입 모양과 혀의 위치가 더 좁고 둥글게 유지됩니다."
ㅞ_ㅛ,"입술을 동그랗게 모으고, 'ㅛ'를 발음할 때는 입을 조금 더 작게 벌리세요. 혀끝은 아래에 두고, 혀의 뒤쪽을 살짝 올려 '오' 소리를 내는 느낌으로 발음하세요. 'ㅞ'는 '우'와 '에'의 결합이지만, 'ㅛ'는 '이'와 '오'의 결합이므로 입 모양과 혀의 위치가 더 작고 동그랗게 유지되어야 합니다."
ㅚ_ㅛ,"입술을 동그랗게 모으고, 'ㅚ'보다 조금 더 작게 벌려주세요. 혀끝은 아래로 내리고, 혀의 뒤쪽을 살짝 올려 '오' 소리를 낼 준비를 하세요. 'ㅚ'는 '우'와 '에'의 결합이고, 'ㅛ'는 '이'와 '오'의 결합이므로, 'ㅛ'는 더 둥글고 입술을 앞으로 내미는 것이 차이점입니다."
ㅟ_ㅛ,"입술을 동그랗게 모으되, 'ㅟ'보다 덜 내밀고 약간 더 넓게 벌려주세요. 혀는 'ㅟ'에서처럼 윗입천장에 가까이 두지 말고, 혀끝을 아래로 내리고 혀의 뒤쪽을 살짝 올려주세요. 'ㅟ'는 '우'와 '이'의 결합이고, 'ㅛ'는 '이'와 '오'의 결합이므로 입술 모양과 혀의 위치가 다릅니다."
ㅢ_ㅛ,"입술을 동그랗게 모으고 살짝 앞으로 내밀어 'ㅛ'를 발음할 때의 모양을 만들어주세요. 혀는 'ㅢ'에서처럼 입천장 쪽으로 올리지 말고, 혀끝을 아래로 내리고 혀의 뒤쪽을 살짝 올려주세요. 'ㅢ'는 입술을 덜 모으고 혀가 더 위로 올라가지만, 'ㅛ'는 입술을 더 동그랗게 하고 혀가 아래로 내려가는 것이 핵심적인 차이입니다."
ㅣ_ㅠ,"입술을 옆으로 벌리는 대신 앞으로 내밀고 동그랗게 만들어주세요. 혀는 'ㅣ'처럼 입천장에 가까이 두지 말고, 혀끝을 아래로 내리고 혀의 뒤쪽을 살짝 올려주세요. 'ㅣ'는 입술이 옆으로 퍼지지만, 'ㅠ'는 입술을 앞으로 내밀고 동그랗게 만드는 것이 핵심 차이입니다."
ㅔ_ㅠ,"입을 더 좁게 벌리고, 입술을 앞으로 내밀어 동그랗게 만들어주세요. 혀는 입천장 쪽으로 올리지 말고, 혀끝을 아래로 두고 혀의 뒤쪽을 살짝 올려주세요. 'ㅔ'는 입을 옆으로 벌리지만, 'ㅠ'는 입술을 동그랗게 모으는 것이 핵심적인 차이입니다."
ㅐ_ㅠ,"입을 더 작게 벌리고 입술을 앞으로 내밀어 동그랗게 만들어주세요. 혀끝은 아래로 두고 혀의 뒤쪽을 살짝 올려주세요. 'ㅐ'는 입을 옆으로 벌리지만, 'ㅠ'는 입술을 앞으로 모아 발음하는 것이 핵심적인 차이입니다."
ㅏ_ㅠ,"입을 동그랗게 모으고 앞으로 내밀어 'ㅏ'보다 좁게 벌리세요. 혀끝은 아래에 두고 혀의 뒤쪽을 올려 '우' 소리를 낼 준비를 하세요. 'ㅏ'는 입을 크게 벌리고 혀를 내리지만, 'ㅠ'는 입술을 모으고 혀를 올려 발음하는 것이 핵심적인 차이입니다."
ㅓ_ㅠ,"입술을 앞으로 내밀고 동그랗게 모아 '우' 소리를 낼 준비를 하세요. 혀끝은 아래로 두고 혀의 뒤쪽을 올려 '우' 소리의 위치를 유지한 상태에서 '이' 소리를 짧게 붙여주세요. 'ㅓ'는 입술을 편안하게 두고 발음하지만, 'ㅠ'는 입술을 더 모아주고 혀의 위치가 더 높아집니다."
ㅗ_ㅠ,"입술을 'ㅗ'처럼 동그랗게 하지 말고, 'ㅠ'를 발음할 때는 입술을 앞으로 내밀면서 더 좁게 모아주세요. 혀는 'ㅗ'에서처럼 뒤쪽을 올리지 말고, 'ㅠ'를 발음할 때는 혀끝을 아래로 두고 혀의 뒤쪽을 더 높이 올리세요. 'ㅗ'는 입술을 동그랗게 모으는 반면, 'ㅠ'는 입술을 더 좁게 모으고 앞으로 내미는 것이 핵심적인 차이입니다."
ㅜ_ㅠ,"입술을 'ㅜ'보다 조금 더 앞으로 내밀고, 입을 살짝 더 벌려주세요. 혀는 'ㅜ' 발음처럼 뒤쪽을 올리되, 'ㅠ'에서는 혀 앞부분을 살짝 더 위로 올려주세요. 'ㅜ'는 입술만 동그랗게 하는 반면, 'ㅠ'는 '이' 소리가 섞여 있어 입술과 혀의 움직임이 더 복잡합니다."
ㅡ_ㅠ,"입술을 'ㅡ'보다 더 앞으로 내밀고 동그랗게 만들어주세요. 혀는 'ㅡ'처럼 편안하게 두지 말고, 혀끝을 아래로 내리고 혀의 뒤쪽을 살짝 올려주세요. 'ㅡ'는 입술이 평평한 반면, 'ㅠ'는 입술을 동그랗게 모으고 혀의 위치가 더 적극적으로 움직입니다."
ㅑ_ㅠ,"입술을 동그랗게 모으고 앞으로 내밀어 'ㅠ' 발음을 준비하세요. 혀끝은 아래에 두고 혀의 뒤쪽을 살짝 올려 '우' 소리를 내는 느낌을 유지하세요. 'ㅑ'는 입을 옆으로 벌리고 혀를 아래로 내리지만, 'ㅠ'는 입술을 모으고 혀의 뒤쪽을 올리는 것이 핵심적인 차이입니다."
ㅕ_ㅠ,"입술을 더 동그랗게 만들고 앞으로 내밀어 'ㅠ' 발음을 시도하세요. 혀는 'ㅕ'보다 더 낮게 두고, 혀끝이 아래쪽에 닿도록 하세요. 'ㅕ'는 입술이 평평한 반면, 'ㅠ'는 입술을 둥글게 모으는 것이 핵심 차이입니다."
ㅛ_ㅠ,"입술을 더 앞으로 내밀고 동그랗게 만들어 'ㅛ'보다 더 좁은 모양을 유지하세요. 혀끝은 아래로 내리고 혀의 뒤쪽을 높여 '우' 소리를 낼 준비를 하세요. 'ㅛ'는 '오'와 '이'의 결합이고, 'ㅠ'는 '우'와 '이'의 결합이므로 입술 모양과 혀 위치가 다릅니다."
ㅒ_ㅠ,"입술을 동그랗게 모으고 앞으로 내밀어 'ㅠ' 발음을 시도하세요. 혀는 입 안에서 편안하게 두고, 혀끝이 아래쪽에 위치하도록 하세요. 'ㅒ'는 입을 옆으로 벌리지만, 'ㅠ'는 입술을 둥글게 모으는 것이 핵심적인 차이입니다."
ㅖ_ㅠ,"입술을 동그랗게 모으고 앞으로 내밀어 '우' 소리를 낼 준비를 하세요. 혀는 입천장에 닿지 않도록 아래쪽에 두고, 혀의 뒤쪽을 살짝 올려주세요. 'ㅖ'는 입을 옆으로 벌리며 혀가 위로 올라가지만, 'ㅠ'는 입술을 모으고 혀가 아래에 위치하는 것이 핵심적인 차이입니다."
ㅘ_ㅠ,"입을 옆으로 길게 벌리고 입술을 앞으로 내밀지 않도록 주의하세요. 혀는 입천장 쪽으로 올려 '이' 소리를 내는 느낌으로 시작한 후, '우'로 이어지게 하세요. 'ㅘ'는 입을 크게 벌리고 '아' 소리가 포함되지만, 'ㅠ'는 입을 덜 벌리고 '이'와 '우'의 결합으로 이루어집니다."
ㅝ_ㅠ,"입술을 동그랗게 모으는 대신, 'ㅠ' 발음을 위해 입술을 옆으로 길게 벌려주세요. 혀는 'ㅝ'에서처럼 뒤로 당기지 말고, 'ㅠ' 발음 시 혀를 입천장 쪽으로 올려주세요. 'ㅝ'는 '우'와 '어'의 결합이고, 'ㅠ'는 '이'와 '우'의 결합이므로 입술과 혀의 위치가 다릅니다."
ㅙ_ㅠ,"입술을 동그랗게 모으고 앞으로 내밀어 '우' 소리를 낼 준비를 하세요. 혀는 입 안에서 최대한 낮게 두고, 혀끝이 아래쪽에 닿도록 하세요. 'ㅙ'는 입을 더 넓게 벌리고 혀가 위쪽으로 올라가지만, 'ㅠ'는 입술을 더 좁게 모으고 혀를 아래로 내려야 합니다."
ㅞ_ㅠ,"입술을 더 앞으로 내밀고 동그랗게 모아 '우' 소리를 낼 준비를 하세요. 혀끝은 아래로 내리고 혀의 뒤쪽을 올려 '우' 소리의 위치를 유지하세요. 'ㅞ'는 입을 덜 내밀고 혀가 더 평평한 반면, 'ㅠ'는 입술을 더 내밀고 혀의 뒤쪽을 더 올려야 합니다."
ㅚ_ㅠ,"입술을 더 앞으로 내밀고 동그랗게 만들어 '우' 소리를 낼 준비를 하세요. 혀는 입 안에서 최대한 낮게 두고, 혀끝이 아래쪽 잇몸에 닿도록 하세요. 'ㅚ'는 입술을 덜 내밀고 혀가 더 위쪽에 위치하는 반면, 'ㅠ'는 입술을 더 내밀고 혀가 아래에 위치합니다."
ㅟ_ㅠ,"입술을 'ㅟ'처럼 동그랗게 하지 말고, 'ㅠ'를 발음할 때는 입술을 옆으로 살짝 벌리세요. 혀는 'ㅟ'에서처럼 윗입천장에 가까이 두지 말고, 'ㅠ'를 발음할 때는 혀를 아래로 내려 편안하게 두세요. 'ㅟ'는 입술을 동그랗게 하고 혀를 위로 올리지만, 'ㅠ'는 입술을 옆으로 벌리고 혀를 아래로 두는 것이 핵심적인 차이입니다."
ㅢ_ㅠ,"입술을 동그랗게 모으고 앞으로 내밀어 '우' 소리를 낼 준비를 하세요. 혀는 입 안에서 편안하게 두고, 혀끝이 아래쪽에 위치하도록 하세요. 'ㅢ'는 혀가 위로 올라가지만, 'ㅠ'는 혀가 아래에 머물러 있어야 하므로 혀의 위치에 주의하세요."
ㅣ_ㅒ,"입을 옆으로 길게 벌리되, 'ㅣ'보다 조금 더 넓게 벌려주세요. 혀는 'ㅣ'처럼 입천장 쪽으로 올리지만, 'ㅒ'에서는 혀를 약간 더 낮추어야 합니다. 'ㅣ'는 입을 좁게 벌리고 혀를 높게 두는 반면, 'ㅒ'는 입을 더 넓게 벌리고 혀를 조금 더 낮게 둡니다."
ㅔ_ㅒ,"입을 조금 더 크게 벌려서 'ㅔ'보다 넓은 모양을 만들어주세요. 혀는 'ㅔ'보다 약간 더 아래로 내리고, 아랫니 뒤쪽에 가깝게 위치시켜주세요. 'ㅔ'는 입을 덜 벌리고 혀가 더 위에 있지만, 'ㅒ'는 입을 더 벌리고 혀가 더 아래에 위치합니다."
ㅐ_ㅒ,"입을 'ㅐ'보다 조금 더 옆으로 길게 벌려주세요. 혀는 'ㅐ' 발음할 때보다 약간 더 위로 올려서 입천장에 가깝게 두세요. 'ㅐ'는 혀가 더 낮고 입 모양이 덜 벌어지지만, 'ㅒ'는 '이' 소리가 섞여 있어 입을 더 옆으로 벌리고 혀를 더 높게 유지해야 합니다."
ㅏ_ㅒ,"입을 'ㅏ'보다 덜 벌리고, 새끼손가락 두 개 정도의 간격으로 옆으로 살짝 벌려주세요. 혀는 'ㅏ'처럼 아래로 내리지 말고, 아랫니 뒤쪽에 가깝게 두되 약간 더 위로 올려주세요. 'ㅏ'는 입을 크게 벌리고 혀를 최대한 내리지만, 'ㅒ'는 입을 덜 벌리고 혀를 더 위로 올려 발음합니다."
ㅓ_ㅒ,"입을 새끼손가락 두 개만큼 벌리고, 입꼬리를 옆으로 살짝 당겨주세요. 혀는 'ㅓ'보다 약간 더 위로 올려서 아랫니 뒤쪽에 가깝게 두세요. 'ㅓ'는 입술과 혀가 편안한 상태에서 발음되지만, 'ㅒ'는 입을 더 벌리고 혀를 살짝 더 위로 올려야 합니다."
